#FrameNumber | Time | (X,Y) | wake/sleep
36 | 2019-01-25 17:54:27.635385 | 210,194 | wake
37 | 2019-01-25 17:54:27.660442 | 211,196 | wake
38 | 2019-01-25 17:54:27.667033 | 214,195 | wake
39 | 2019-01-25 17:54:27.692259 | 217,189 | wake
40 | 2019-01-25 17:54:27.698843 | 226,192 | wake
41 | 2019-01-25 17:54:27.726045 | 229,193 | wake
42 | 2019-01-25 17:54:27.732632 | 230,188 | wake
43 | 2019-01-25 17:54:27.758924 | 237,190 | wake
44 | 2019-01-25 17:54:27.765615 | 236,195 | wake
45 | 2019-01-25 17:54:27.792296 | 232,192 | wake
46 | 2019-01-25 17:54:27.798924 | 237,196 | wake
47 | 2019-01-25 17:54:27.825224 | 239,202 | wake
48 | 2019-01-25 17:54:27.831949 | 240,203 | wake
49 | 2019-01-25 17:54:27.858811 | 243,204 | wake
50 | 2019-01-25 17:54:27.865531 | 243,206 | wake
51 | 2019-01-25 17:54:27.892535 | 242,204 | wake
52 | 2019-01-25 17:54:27.899272 | 240,207 | wake
53 | 2019-01-25 17:54:27.926269 | 242,205 | wake
54 | 2019-01-25 17:54:27.933018 | 236,198 | wake
55 | 2019-01-25 17:54:27.959819 | 229,190 | wake
56 | 2019-01-25 17:54:27.966464 | 229,188 | wake
57 | 2019-01-25 17:54:27.991301 | 237,195 | wake
58 | 2019-01-25 17:54:27.997933 | 236,195 | wake
59 | 2019-01-25 17:54:28.006136 | 229,180 | wake
60 | 2019-01-25 17:54:28.030400 | 228,182 | wake
61 | 2019-01-25 17:54:28.036641 | 232,192 | wake
62 | 2019-01-25 17:54:28.060510 | 233,193 | wake
63 | 2019-01-25 17:54:28.067180 | 230,185 | wake
64 | 2019-01-25 17:54:28.093118 | 231,186 | wake
65 | 2019-01-25 17:54:28.099874 | 237,194 | wake
66 | 2019-01-25 17:54:28.124921 | 237,194 | wake
67 | 2019-01-25 17:54:28.128879 | 237,194 | wake
68 | 2019-01-25 17:54:28.133037 | 237,194 | wake
69 | 2019-01-25 17:54:28.137142 | 237,194 | wake
70 | 2019-01-25 17:54:28.158904 | 237,194 | wake
71 | 2019-01-25 17:54:28.162943 | 237,194 | wake
72 | 2019-01-25 17:54:28.167017 | 237,194 | wake
73 | 2019-01-25 17:54:28.171802 | 237,194 | wake
74 | 2019-01-25 17:54:28.194554 | 237,194 | wake
75 | 2019-01-25 17:54:28.198484 | 227,185 | wake
76 | 2019-01-25 17:54:28.225415 | 230,192 | wake
77 | 2019-01-25 17:54:28.232150 | 228,192 | wake
78 | 2019-01-25 17:54:28.259007 | 228,192 | wake
79 | 2019-01-25 17:54:28.262845 | 228,192 | wake
80 | 2019-01-25 17:54:28.269132 | 228,192 | wake
81 | 2019-01-25 17:54:28.293259 | 228,192 | wake
82 | 2019-01-25 17:54:28.297252 | 228,192 | wake
83 | 2019-01-25 17:54:28.301353 | 228,192 | wake
84 | 2019-01-25 17:54:28.305388 | 228,192 | wake
85 | 2019-01-25 17:54:28.327319 | 228,192 | wake
86 | 2019-01-25 17:54:28.331254 | 228,192 | wake
87 | 2019-01-25 17:54:28.335393 | 228,192 | wake
88 | 2019-01-25 17:54:28.339561 | 228,192 | wake
89 | 2019-01-25 17:54:28.361370 | 228,192 | wake
